event_id,user_id,content_id,event_type,event_date,device,watch_duration,completed,age_group,gender,city,state,subscription_plan,content_title,content_type,genre,language,content_duration
E10019,U1082,C144,complete,2026-02-11,Tablet,43,1,18-25,Male,Chennai,Tamil Nadu,Premium,Koffee Spotlight Lounge,Show,Reality,English,45
E10020,U1409,C157,complete,2026-02-19,Mobile,38,1,18-25,Male,Bengaluru,Karnataka,Free,Startup Founders Blueprint,Show,News,English,40
E10021,U1560,C146,complete,2026-01-10,Mobile,72,1,26-35,Male,Kolkata,West Bengal,Free,Motu Patlu Space Adventure,Movie,Kids,Hindi,75
E10022,U1656,C133,complete,2026-01-26,Web,46,1,18-25,Female,Hyderabad,Telangana,VIP,Rudra: The Edge of Darkness,Series,Action,Hindi,48
E10023,U1640,C103,complete,2026-01-19,Mobile,55,1,18-25,Other,Delhi,Delhi,Premium,Premier League Weekly Showdown,Sports,Sports,English,60
E10024,U1542,C131,play,2026-02-17,Mobile,75,0,26-35,Female,Pune,Maharashtra,Free,Devara Storm Rising,Movie,Action,Telugu,160
E10025,U1445,C155,complete,2026-02-16,Mobile,46,1,46+,Female,Pune,Maharashtra,Free,Wildlife Wonders: Western Ghats,Show,News,English,52
E10026,U1166,C110,pause,2026-01-07,Smart TV,6,0,36-45,Male,Mumbai,Maharashtra,Free,Anupama: New Beginnings,Show,Drama,Hindi,25
E10027,U1040,C145,complete,2026-02-18,Mobile,79,1,18-25,Female,Bengaluru,Karnataka,Free,Chhota Bheem Himalayan Tour,Movie,Kids,Hindi,85
E10028,U1747,C104,complete,2026-01-25,Smart TV,49,1,26-35,Female,Delhi,Delhi,VIP,IND vs ENG Test Day 3 Highlights,Sports,Sports,English,50
E10029,U1229,C110,play,2026-01-02,Mobile,3,0,18-25,Female,Mumbai,Maharashtra,Free,Anupama: New Beginnings,Show,Drama,Hindi,25
E10030,U1022,C115,play,2026-03-01,Web,14,0,18-25,Female,Bengaluru,Karnataka,Free,Bengal Courtroom Secrets,Series,Drama,Bengali,40
E10031,U1198,C120,pause,2026-02-10,Tablet,9,0,46+,Female,Bengaluru,Karnataka,Free,Succession Politics India,Series,Drama,Hindi,45
E10032,U1567,C144,play,2026-01-31,Mobile,15,0,18-25,Female,Chennai,Tamil Nadu,Free,Koffee Spotlight Lounge,Show,Reality,English,45
E10033,U1410,C141,complete,2026-01-20,Mobile,50,1,18-25,Male,Delhi,Delhi,VIP,Shark Pitch India S4,Show,Reality,Hindi,55
E10034,U1006,C125,complete,2026-02-04,Smart TV,37,1,18-25,Male,Pune,Maharashtra,Free,Chennai Roast Arena,Show,Comedy,Tamil,40
E10035,U1006,C149,pause,2026-01-19,Web,2,0,18-25,Male,Pune,Maharashtra,Free,Shinchan Laugh Club,Series,Kids,Tamil,20
E10036,U1451,C141,complete,2026-01-28,Mobile,54,1,26-35,Female,Jaipur,Rajasthan,Free,Shark Pitch India S4,Show,Reality,Hindi,55
E10037,U1299,C106,complete,2026-01-17,Smart TV,56,1,18-25,Male,Chennai,Tamil Nadu,Premium,WPL T20 Blockbuster Match,Sports,Sports,Hindi,60
E10038,U1051,C132,play,2026-01-18,Mobile,16,0,26-35,Female,Chennai,Tamil Nadu,Free,Commando Force Mumbai,Series,Action,Hindi,42
E10039,U1211,C138,complete,2026-01-12,Web,59,1,26-35,Female,Bengaluru,Karnataka,Premium,Bigg Boss Tamil Season 8,Show,Reality,Tamil,60
E10040,U1093,C104,pause,2026-01-21,Mobile,21,0,18-25,Male,Ahmedabad,Gujarat,Free,IND vs ENG Test Day 3 Highlights,Sports,Sports,English,50
E10041,U1012,C102,complete,2026-01-18,Mobile,81,1,18-25,Male,Hyderabad,Telangana,VIP,IPL Mega Auction Live Replay,Sports,Sports,Hindi,90
E10042,U1084,C120,complete,2026-01-14,Mobile,40,1,46+,Female,Hyderabad,Telangana,VIP,Succession Politics India,Series,Drama,Hindi,45
E10043,U1255,C113,play,2026-01-22,Smart TV,63,0,18-25,Male,Hyderabad,Telangana,VIP,Kaithi Revenge Chronicles,Movie,Drama,Tamil,140
E10044,U1051,C139,complete,2026-02-04,Mobile,56,1,26-35,Female,Chennai,Tamil Nadu,Free,Bigg Boss Telugu Live,Show,Reality,Telugu,60
E10045,U1357,C107,pause,2026-02-19,Web,23,0,18-25,Female,Hyderabad,Telangana,Free,Champions Trophy Pre-Show,Sports,Sports,Telugu,40
E10046,U1545,C117,complete,2026-01-13,Tablet,23,1,26-35,Other,Pune,Maharashtra,Free,Ghar Ek Mandir Classic,Show,Drama,Marathi,24
E10047,U1352,C140,play,2026-01-20,Mobile,15,0,26-35,Male,Mumbai,Maharashtra,Free,Dance India Dance Championship,Show,Reality,Hindi,50
E10048,U1701,C106,pause,2026-01-31,Smart TV,31,0,18-25,Male,Mumbai,Maharashtra,Free,WPL T20 Blockbuster Match,Sports,Sports,Hindi,60
E10049,U1483,C108,pause,2026-02-10,Web,13,0,36-45,Female,Chennai,Tamil Nadu,Free,ISL Football Clash of Titans,Sports,Sports,Bengali,60
E10050,U1331,C101,complete,2026-01-16,Smart TV,42,1,26-35,Female,Mumbai,Maharashtra,VIP,IND vs AUS T20 Cup Highlights,Sports,Sports,Hindi,45
E10051,U1006,C102,complete,2026-01-24,Smart TV,86,1,18-25,Male,Pune,Maharashtra,Free,IPL Mega Auction Live Replay,Sports,Sports,Hindi,90
E10052,U1586,C110,play,2026-02-18,Mobile,6,0,18-25,Male,Mumbai,Maharashtra,Premium,Anupama: New Beginnings,Show,Drama,Hindi,25
E10053,U1469,C103,pause,2026-01-15,Smart TV,41,0,26-35,Male,Mumbai,Maharashtra,VIP,Premier League Weekly Showdown,Sports,Sports,English,60
E10054,U1235,C128,complete,2026-02-16,Smart TV,113,1,18-25,Female,Bengaluru,Karnataka,Premium,College Boys Chaos,Movie,Comedy,Hindi,115
E10055,U1133,C136,complete,2026-02-01,Mobile,118,1,18-25,Male,Lucknow,Uttar Pradesh,Free,Speed Street Heist,Movie,Action,English,120
E10056,U1540,C128,pause,2026-01-21,Mobile,41,0,18-25,Male,Kolkata,West Bengal,VIP,College Boys Chaos,Movie,Comedy,Hindi,115
E10057,U1557,C111,pause,2026-01-10,Web,9,0,46+,Female,Kolkata,West Bengal,Premium,Yeh Rishta: Family Bonds,Show,Drama,Hindi,22
E10058,U1340,C142,complete,2026-02-02,Mobile,43,1,18-25,Male,Kolkata,West Bengal,Premium,Master Chef Kitchen Wars,Show,Reality,Hindi,45
E10059,U1286,C107,pause,2026-02-16,Mobile,18,0,26-35,Female,Delhi,Delhi,VIP,Champions Trophy Pre-Show,Sports,Sports,Telugu,40
E10060,U1040,C155,complete,2026-02-19,Web,50,1,18-25,Female,Bengaluru,Karnataka,Free,Wildlife Wonders: Western Ghats,Show,News,English,52
E10061,U1422,C131,pause,2026-01-05,Mobile,21,0,26-35,Male,Chennai,Tamil Nadu,VIP,Devara Storm Rising,Movie,Action,Telugu,160
E10062,U1027,C151,complete,2026-01-13,Mobile,27,1,26-35,Female,Mumbai,Maharashtra,VIP,Daily Headlines 360,News,News,Hindi,30
E10063,U1065,C129,play,2026-01-17,Web,62,0,36-45,Male,Delhi,Delhi,Free,Tiger Underground Strike,Movie,Action,Hindi,155
E10064,U1030,C108,complete,2026-02-11,Smart TV,59,1,18-25,Male,Chennai,Tamil Nadu,Free,ISL Football Clash of Titans,Sports,Sports,Bengali,60
E10065,U1374,C146,pause,2026-02-26,Mobile,8,0,26-35,Male,Mumbai,Maharashtra,VIP,Motu Patlu Space Adventure,Movie,Kids,Hindi,75
E10066,U1314,C116,pause,2026-01-05,Smart TV,38,0,26-35,Female,Bengaluru,Karnataka,Premium,Kolkata Love Diary,Movie,Drama,Bengali,125
E10067,U1631,C103,pause,2026-01-25,Mobile,7,0,26-35,Male,Hyderabad,Telangana,VIP,Premier League Weekly Showdown,Sports,Sports,English,60
E10068,U1128,C125,play,2026-01-27,Mobile,6,0,26-35,Female,Pune,Maharashtra,VIP,Chennai Roast Arena,Show,Comedy,Tamil,40
E10069,U1566,C140,pause,2026-01-07,Smart TV,31,0,18-25,Female,Kolkata,West Bengal,Free,Dance India Dance Championship,Show,Reality,Hindi,50
E10070,U1114,C107,complete,2026-02-08,Mobile,36,1,26-35,Male,Jaipur,Rajasthan,Free,Champions Trophy Pre-Show,Sports,Sports,Telugu,40
E10071,U1338,C115,pause,2026-02-18,Mobile,9,0,26-35,Male,Delhi,Delhi,Free,Bengal Courtroom Secrets,Series,Drama,Bengali,40
E10072,U1479,C142,complete,2026-01-25,Mobile,42,1,26-35,Male,Lucknow,Uttar Pradesh,VIP,Master Chef Kitchen Wars,Show,Reality,Hindi,45
E10073,U1581,C149,pause,2026-02-16,Mobile,6,0,46+,Male,Ahmedabad,Gujarat,VIP,Shinchan Laugh Club,Series,Kids,Tamil,20
E10074,U1021,C112,complete,2026-01-01,Mobile,49,1,18-25,Female,Pune,Maharashtra,Free,City of Dreams: The Succession,Series,Drama,Hindi,50
E10075,U1224,C108,complete,2026-02-14,Web,58,1,36-45,Male,Delhi,Delhi,VIP,ISL Football Clash of Titans,Sports,Sports,Bengali,60
E10076,U1621,C149,pause,2026-01-30,Mobile,7,0,18-25,Male,Bengaluru,Karnataka,VIP,Shinchan Laugh Club,Series,Kids,Tamil,20
E10077,U1271,C105,play,2026-01-06,Mobile,13,0,36-45,Male,Kochi,Kerala,VIP,Pro Kabaddi League Finals,Sports,Sports,Tamil,70
E10078,U1432,C128,complete,2026-01-31,Mobile,107,1,36-45,Male,Ahmedabad,Gujarat,Free,College Boys Chaos,Movie,Comedy,Hindi,115
E10079,U1117,C142,complete,2026-02-08,Smart TV,44,1,18-25,Male,Delhi,Delhi,Premium,Master Chef Kitchen Wars,Show,Reality,Hindi,45
E10080,U1486,C102,complete,2026-02-28,Web,88,1,26-35,Female,Kochi,Kerala,Free,IPL Mega Auction Live Replay,Sports,Sports,Hindi,90
E10081,U1586,C115,complete,2026-02-25,Web,39,1,18-25,Male,Mumbai,Maharashtra,Premium,Bengal Courtroom Secrets,Series,Drama,Bengali,40
E10082,U1586,C139,pause,2026-01-04,Web,27,0,18-25,Male,Mumbai,Maharashtra,Premium,Bigg Boss Telugu Live,Show,Reality,Telugu,60
E10083,U1225,C102,complete,2026-01-15,Mobile,85,1,18-25,Male,Patna,Bihar,VIP,IPL Mega Auction Live Replay,Sports,Sports,Hindi,90
E10084,U1105,C135,pause,2026-01-06,Tablet,85,0,26-35,Female,Bengaluru,Karnataka,Free,Fighter Wing Alpha,Movie,Action,Hindi,145
E10085,U1153,C112,complete,2026-02-06,Mobile,45,1,18-25,Male,Delhi,Delhi,Premium,City of Dreams: The Succession,Series,Drama,Hindi,50
E10086,U1566,C127,play,2026-02-18,Mobile,8,0,18-25,Female,Kolkata,West Bengal,Free,Pune Pun Factory,Show,Comedy,Marathi,30
E10087,U1092,C128,pause,2026-02-17,Mobile,20,0,18-25,Male,Pune,Maharashtra,Free,College Boys Chaos,Movie,Comedy,Hindi,115
E10088,U1399,C109,pause,2026-01-08,Mobile,18,0,18-25,Male,Bengaluru,Karnataka,VIP,Special Ops: Desert Falcon,Series,Drama,Hindi,45
E10089,U1511,C119,complete,2026-01-02,Mobile,52,1,26-35,Male,Kochi,Kerala,VIP,The Crown Dynasty Legacy,Series,Drama,English,55
E10090,U1586,C107,pause,2026-01-29,Mobile,19,0,18-25,Male,Mumbai,Maharashtra,Premium,Champions Trophy Pre-Show,Sports,Sports,Telugu,40
E10091,U1028,C142,complete,2026-02-24,Mobile,43,1,46+,Female,Lucknow,Uttar Pradesh,VIP,Master Chef Kitchen Wars,Show,Reality,Hindi,45
E10092,U1057,C138,play,2026-01-19,Mobile,9,0,18-25,Female,Chennai,Tamil Nadu,Free,Bigg Boss Tamil Season 8,Show,Reality,Tamil,60
E10093,U1010,C136,complete,2026-01-14,Mobile,108,1,18-25,Female,Pune,Maharashtra,Premium,Speed Street Heist,Movie,Action,English,120
E10094,U1561,C108,pause,2026-01-10,Mobile,21,0,26-35,Female,Mumbai,Maharashtra,Premium,ISL Football Clash of Titans,Sports,Sports,Bengali,60
E10095,U1533,C135,pause,2026-01-04,Mobile,49,0,18-25,Female,Chennai,Tamil Nadu,Free,Fighter Wing Alpha,Movie,Action,Hindi,145
E10096,U1211,C141,complete,2026-01-01,Smart TV,53,1,26-35,Female,Bengaluru,Karnataka,Premium,Shark Pitch India S4,Show,Reality,Hindi,55
E10097,U1042,C134,pause,2026-01-19,Smart TV,49,0,26-35,Female,Mumbai,Maharashtra,Free,Night Hunter Squad,Movie,Action,English,130
E10098,U1655,C133,pause,2026-01-21,Mobile,27,0,18-25,Other,Kochi,Kerala,Free,Rudra: The Edge of Darkness,Series,Action,Hindi,48
E10099,U1367,C130,complete,2026-02-05,Mobile,164,1,46+,Male,Kochi,Kerala,Free,Vikram: Shadow Commander,Movie,Action,Tamil,165
E10100,U1697,C101,pause,2026-01-11,Mobile,11,0,18-25,Male,Lucknow,Uttar Pradesh,Free,IND vs AUS T20 Cup Highlights,Sports,Sports,Hindi,45
E10101,U1012,C136,complete,2026-02-02,Mobile,119,1,18-25,Male,Hyderabad,Telangana,VIP,Speed Street Heist,Movie,Action,English,120
E10102,U1202,C103,play,2026-02-05,Mobile,34,0,26-35,Male,Jaipur,Rajasthan,Free,Premier League Weekly Showdown,Sports,Sports,English,60
E10103,U1711,C109,complete,2026-02-16,Mobile,41,1,18-25,Male,Bengaluru,Karnataka,VIP,Special Ops: Desert Falcon,Series,Drama,Hindi,45
E10104,U1290,C154,pause,2026-01-10,Smart TV,9,0,18-25,Male,Delhi,Delhi,Free,Elections Ground Pulse,News,News,Hindi,35
E10105,U1325,C113,complete,2026-02-11,Smart TV,127,1,26-35,Male,Kochi,Kerala,Free,Kaithi Revenge Chronicles,Movie,Drama,Tamil,140
E10106,U1096,C126,play,2026-02-03,Web,8,0,36-45,Female,Delhi,Delhi,Premium,Telugu Comedy Superstars,Show,Comedy,Telugu,30
E10107,U1681,C119,pause,2026-01-11,Web,26,0,26-35,Male,Chennai,Tamil Nadu,Premium,The Crown Dynasty Legacy,Series,Drama,English,55
E10108,U1236,C128,complete,2026-02-26,Web,107,1,26-35,Male,Delhi,Delhi,VIP,College Boys Chaos,Movie,Comedy,Hindi,115
E10109,U1101,C102,pause,2026-02-17,Mobile,50,0,26-35,Male,Delhi,Delhi,VIP,IPL Mega Auction Live Replay,Sports,Sports,Hindi,90
E10110,U1700,C146,complete,2026-01-07,Web,73,1,36-45,Male,Delhi,Delhi,Premium,Motu Patlu Space Adventure,Movie,Kids,Hindi,75
E10111,U1091,C101,pause,2026-02-08,Tablet,22,0,26-35,Female,Delhi,Delhi,Premium,IND vs AUS T20 Cup Highlights,Sports,Sports,Hindi,45
E10112,U1162,C136,pause,2026-02-08,Mobile,37,0,18-25,Female,Bengaluru,Karnataka,VIP,Speed Street Heist,Movie,Action,English,120
E10113,U1357,C133,pause,2026-01-15,Mobile,15,0,18-25,Female,Hyderabad,Telangana,Free,Rudra: The Edge of Darkness,Series,Action,Hindi,48
E10114,U1021,C139,complete,2026-02-17,Mobile,56,1,18-25,Female,Pune,Maharashtra,Free,Bigg Boss Telugu Live,Show,Reality,Telugu,60
E10115,U1510,C108,complete,2026-01-29,Mobile,59,1,26-35,Male,Chennai,Tamil Nadu,Premium,ISL Football Clash of Titans,Sports,Sports,Bengali,60
E10116,U1654,C123,pause,2026-01-03,Mobile,5,0,18-25,Male,Mumbai,Maharashtra,VIP,Sarabhai Classic Revival,Series,Comedy,Hindi,25
E10117,U1461,C142,complete,2026-02-06,Smart TV,44,1,26-35,Male,Chennai,Tamil Nadu,Premium,Master Chef Kitchen Wars,Show,Reality,Hindi,45
E10118,U1450,C125,pause,2026-02-22,Web,15,0,18-25,Female,Ahmedabad,Gujarat,Free,Chennai Roast Arena,Show,Comedy,Tamil,40
E10119,U1664,C144,pause,2026-01-25,Mobile,25,0,36-45,Male,Delhi,Delhi,Premium,Koffee Spotlight Lounge,Show,Reality,English,45
E10120,U1391,C132,complete,2026-01-20,Mobile,39,1,46+,Other,Pune,Maharashtra,VIP,Commando Force Mumbai,Series,Action,Hindi,42
E10121,U1588,C112,complete,2026-02-14,Mobile,49,1,26-35,Male,Kolkata,West Bengal,VIP,City of Dreams: The Succession,Series,Drama,Hindi,50
E10122,U1391,C106,complete,2026-01-08,Web,58,1,46+,Other,Pune,Maharashtra,VIP,WPL T20 Blockbuster Match,Sports,Sports,Hindi,60
E10123,U1122,C129,pause,2026-01-02,Web,50,0,46+,Male,Hyderabad,Telangana,Premium,Tiger Underground Strike,Movie,Action,Hindi,155
E10124,U1121,C130,complete,2026-01-17,Smart TV,156,1,18-25,Male,Hyderabad,Telangana,Premium,Vikram: Shadow Commander,Movie,Action,Tamil,165
E10125,U1238,C133,complete,2026-01-06,Smart TV,46,1,26-35,Male,Kolkata,West Bengal,Premium,Rudra: The Edge of Darkness,Series,Action,Hindi,48
E10126,U1074,C120,play,2026-02-02,Mobile,12,0,26-35,Male,Mumbai,Maharashtra,VIP,Succession Politics India,Series,Drama,Hindi,45
E10127,U1464,C106,complete,2026-01-22,Smart TV,55,1,26-35,Female,Chennai,Tamil Nadu,VIP,WPL T20 Blockbuster Match,Sports,Sports,Hindi,60
E10128,U1430,C134,play,2026-01-27,Mobile,21,0,46+,Female,Bengaluru,Karnataka,Premium,Night Hunter Squad,Movie,Action,English,130
E10129,U1228,C138,complete,2026-02-27,Tablet,55,1,36-45,Male,Mumbai,Maharashtra,Free,Bigg Boss Tamil Season 8,Show,Reality,Tamil,60
E10130,U1091,C108,complete,2026-02-24,Smart TV,56,1,26-35,Female,Delhi,Delhi,Premium,ISL Football Clash of Titans,Sports,Sports,Bengali,60
E10131,U1378,C141,complete,2026-02-12,Smart TV,50,1,26-35,Male,Chennai,Tamil Nadu,VIP,Shark Pitch India S4,Show,Reality,Hindi,55
E10132,U1362,C118,pause,2026-02-09,Mobile,9,0,18-25,Male,Chennai,Tamil Nadu,Free,Kerala Waterfront Mystery,Series,Drama,Malayalam,48
E10133,U1472,C142,complete,2026-01-23,Mobile,40,1,18-25,Female,Pune,Maharashtra,Free,Master Chef Kitchen Wars,Show,Reality,Hindi,45
E10134,U1023,C143,play,2026-01-04,Smart TV,15,0,36-45,Male,Kolkata,West Bengal,VIP,Roadies Quest,Show,Reality,Hindi,45
E10135,U1069,C160,complete,2026-02-14,Mobile,28,1,36-45,Female,Ahmedabad,Gujarat,Premium,Maharashtra Maha News,News,News,Marathi,30
E10136,U1450,C140,play,2026-01-06,Mobile,18,0,18-25,Female,Ahmedabad,Gujarat,Free,Dance India Dance Championship,Show,Reality,Hindi,50
E10137,U1584,C114,play,2026-01-05,Web,24,0,46+,Male,Delhi,Delhi,VIP,Telugu Royal Heritage,Series,Drama,Telugu,45
E10138,U1217,C105,complete,2026-02-03,Smart TV,66,1,18-25,Male,Patna,Bihar,Free,Pro Kabaddi League Finals,Sports,Sports,Tamil,70
E10139,U1145,C108,pause,2026-01-06,Mobile,34,0,18-25,Female,Mumbai,Maharashtra,Free,ISL Football Clash of Titans,Sports,Sports,Bengali,60
E10140,U1366,C136,pause,2026-01-21,Web,31,0,46+,Male,Jaipur,Rajasthan,VIP,Speed Street Heist,Movie,Action,English,120
E10141,U1187,C129,pause,2026-02-16,Smart TV,87,0,26-35,Female,Ahmedabad,Gujarat,Premium,Tiger Underground Strike,Movie,Action,Hindi,155
E10142,U1477,C123,play,2026-01-01,Mobile,10,0,26-35,Male,Kochi,Kerala,Premium,Sarabhai Classic Revival,Series,Comedy,Hindi,25
E10143,U1079,C121,pause,2026-01-27,Smart TV,9,0,46+,Male,Kochi,Kerala,Free,The Great Indian Comedy Lab,Show,Comedy,Hindi,35
E10144,U1312,C114,pause,2026-01-19,Smart TV,5,0,26-35,Female,Chennai,Tamil Nadu,VIP,Telugu Royal Heritage,Series,Drama,Telugu,45
E10145,U1181,C103,pause,2026-01-22,Mobile,27,0,26-35,Male,Pune,Maharashtra,Free,Premier League Weekly Showdown,Sports,Sports,English,60
E10146,U1255,C138,complete,2026-01-22,Smart TV,55,1,18-25,Male,Hyderabad,Telangana,VIP,Bigg Boss Tamil Season 8,Show,Reality,Tamil,60
E10147,U1630,C149,pause,2026-01-10,Mobile,2,0,26-35,Male,Delhi,Delhi,Free,Shinchan Laugh Club,Series,Kids,Tamil,20
E10148,U1471,C146,complete,2026-01-27,Mobile,73,1,46+,Male,Lucknow,Uttar Pradesh,VIP,Motu Patlu Space Adventure,Movie,Kids,Hindi,75
E10149,U1698,C102,pause,2026-01-02,Mobile,37,0,36-45,Female,Ahmedabad,Gujarat,VIP,IPL Mega Auction Live Replay,Sports,Sports,Hindi,90
E10150,U1144,C136,play,2026-01-18,Smart TV,44,0,26-35,Male,Bengaluru,Karnataka,Free,Speed Street Heist,Movie,Action,English,120
E10151,U1633,C114,pause,2026-01-12,Mobile,7,0,18-25,Male,Hyderabad,Telangana,VIP,Telugu Royal Heritage,Series,Drama,Telugu,45
E10152,U1450,C144,pause,2026-01-27,Smart TV,15,0,18-25,Female,Ahmedabad,Gujarat,Free,Koffee Spotlight Lounge,Show,Reality,English,45
E10153,U1058,C144,pause,2026-01-12,Mobile,10,0,18-25,Male,Lucknow,Uttar Pradesh,Premium,Koffee Spotlight Lounge,Show,Reality,English,45
E10154,U1071,C140,pause,2026-01-31,Smart TV,22,0,26-35,Female,Mumbai,Maharashtra,Premium,Dance India Dance Championship,Show,Reality,Hindi,50
E10155,U1679,C106,pause,2026-01-21,Mobile,30,0,46+,Female,Lucknow,Uttar Pradesh,VIP,WPL T20 Blockbuster Match,Sports,Sports,Hindi,60
E10156,U1099,C144,pause,2026-02-16,Web,22,0,46+,Female,Hyderabad,Telangana,VIP,Koffee Spotlight Lounge,Show,Reality,English,45
E10157,U1023,C117,complete,2026-01-03,Web,22,1,36-45,Male,Kolkata,West Bengal,VIP,Ghar Ek Mandir Classic,Show,Drama,Marathi,24
E10158,U1524,C130,pause,2026-02-12,Mobile,16,0,18-25,Male,Delhi,Delhi,VIP,Vikram: Shadow Commander,Movie,Action,Tamil,165
E10159,U1566,C101,pause,2026-01-19,Smart TV,12,0,18-25,Female,Kolkata,West Bengal,Free,IND vs AUS T20 Cup Highlights,Sports,Sports,Hindi,45
E10160,U1203,C113,complete,2026-01-18,Mobile,128,1,18-25,Female,Delhi,Delhi,Free,Kaithi Revenge Chronicles,Movie,Drama,Tamil,140
E10161,U1075,C154,complete,2026-02-05,Smart TV,33,1,36-45,Female,Delhi,Delhi,Premium,Elections Ground Pulse,News,News,Hindi,35
E10162,U1236,C106,complete,2026-01-05,Smart TV,55,1,26-35,Male,Delhi,Delhi,VIP,WPL T20 Blockbuster Match,Sports,Sports,Hindi,60
E10163,U1230,C146,complete,2026-02-27,Mobile,67,1,18-25,Male,Mumbai,Maharashtra,Free,Motu Patlu Space Adventure,Movie,Kids,Hindi,75
E10164,U1512,C104,pause,2026-02-07,Mobile,8,0,26-35,Female,Mumbai,Maharashtra,VIP,IND vs ENG Test Day 3 Highlights,Sports,Sports,English,50
E10165,U1473,C136,pause,2026-02-18,Mobile,29,0,18-25,Female,Bengaluru,Karnataka,Free,Speed Street Heist,Movie,Action,English,120
E10166,U1510,C126,pause,2026-02-22,Tablet,12,0,26-35,Male,Chennai,Tamil Nadu,Premium,Telugu Comedy Superstars,Show,Comedy,Telugu,30
E10167,U1605,C136,complete,2026-02-19,Mobile,115,1,26-35,Male,Hyderabad,Telangana,VIP,Speed Street Heist,Movie,Action,English,120
E10168,U1356,C109,play,2026-01-26,Mobile,17,0,18-25,Male,Hyderabad,Telangana,VIP,Special Ops: Desert Falcon,Series,Drama,Hindi,45
E10169,U1126,C149,pause,2026-01-05,Mobile,4,0,26-35,Male,Bengaluru,Karnataka,Premium,Shinchan Laugh Club,Series,Kids,Tamil,20
E10170,U1361,C115,complete,2026-02-08,Mobile,39,1,36-45,Male,Patna,Bihar,Free,Bengal Courtroom Secrets,Series,Drama,Bengali,40
E10171,U1436,C124,pause,2026-01-05,Mobile,8,0,46+,Female,Mumbai,Maharashtra,Premium,Standup Special: Bangalore Humor,Show,Comedy,English,65
E10172,U1598,C126,pause,2026-01-31,Mobile,11,0,18-25,Female,Delhi,Delhi,VIP,Telugu Comedy Superstars,Show,Comedy,Telugu,30
E10173,U1292,C115,pause,2026-02-20,Web,22,0,36-45,Male,Chennai,Tamil Nadu,VIP,Bengal Courtroom Secrets,Series,Drama,Bengali,40
E10174,U1255,C136,play,2026-02-23,Mobile,53,0,18-25,Male,Hyderabad,Telangana,VIP,Speed Street Heist,Movie,Action,English,120
