user_id,age_group,gender,city,state,subscription_plan,signup_date,total_sessions,total_watch_minutes,avg_watch_minutes_per_session,completed_sessions
U1048,36-45,Male,Kolkata,West Bengal,VIP,2025-12-18,3,187,62.33,1
U1049,26-35,Female,Mumbai,Maharashtra,Free,2025-06-15,24,1027,42.79,12
U1050,26-35,Female,Kolkata,West Bengal,Free,2025-10-28,7,323,46.14,4
U1051,26-35,Female,Chennai,Tamil Nadu,Free,2025-10-09,27,1087,40.26,12
U1052,18-25,Male,Hyderabad,Telangana,VIP,2025-07-31,3,100,33.33,2
U1053,26-35,Female,Chennai,Tamil Nadu,VIP,2025-06-11,14,419,29.93,7
U1054,26-35,Male,Hyderabad,Telangana,VIP,2026-01-26,9,197,21.89,2
U1055,18-25,Female,Delhi,Delhi,Free,2025-07-04,3,79,26.33,1
U1056,26-35,Male,Delhi,Delhi,VIP,2025-06-19,6,218,36.33,4
U1057,18-25,Female,Chennai,Tamil Nadu,Free,2025-10-16,7,117,16.71,1
U1058,18-25,Male,Lucknow,Uttar Pradesh,Premium,2026-01-12,17,470,27.65,9
U1059,18-25,Male,Bengaluru,Karnataka,VIP,2025-08-17,15,509,33.93,5
U1060,26-35,Other,Hyderabad,Telangana,Free,2025-12-27,13,641,49.31,7
U1061,26-35,Female,Mumbai,Maharashtra,Premium,2025-08-07,26,1217,46.81,12
U1062,18-25,Male,Chennai,Tamil Nadu,Free,2025-11-02,3,214,71.33,3
U1063,18-25,Male,Kolkata,West Bengal,Premium,2025-10-08,1,8,8.0,0
U1064,26-35,Female,Ahmedabad,Gujarat,Free,2025-09-17,8,223,27.88,1
U1065,36-45,Male,Delhi,Delhi,Free,2025-08-07,29,1315,45.34,16
U1066,18-25,Male,Kolkata,West Bengal,VIP,2025-06-29,5,226,45.2,3
U1067,18-25,Female,Jaipur,Rajasthan,VIP,2025-12-31,28,968,34.57,15
U1068,18-25,Female,Bengaluru,Karnataka,Free,2025-09-02,16,463,28.94,4
U1069,36-45,Female,Ahmedabad,Gujarat,Premium,2025-07-24,26,1031,39.65,15
U1070,26-35,Female,Bengaluru,Karnataka,VIP,2026-01-10,8,531,66.38,7
U1071,26-35,Female,Mumbai,Maharashtra,Premium,2026-01-08,13,415,31.92,8
U1072,18-25,Female,Mumbai,Maharashtra,Free,2025-07-16,7,137,19.57,1
U1073,26-35,Male,Lucknow,Uttar Pradesh,Premium,2026-01-08,4,119,29.75,2
U1074,26-35,Male,Mumbai,Maharashtra,VIP,2025-09-06,5,97,19.4,1
U1075,36-45,Female,Delhi,Delhi,Premium,2025-09-26,2,51,25.5,2
U1076,18-25,Female,Jaipur,Rajasthan,Free,2025-11-16,6,247,41.17,3
U1077,18-25,Male,Ahmedabad,Gujarat,Premium,2025-08-11,5,434,86.8,5
U1078,18-25,Male,Hyderabad,Telangana,Premium,2025-08-24,5,322,64.4,2
U1079,46+,Male,Kochi,Kerala,Free,2025-08-07,14,372,26.57,4
U1080,18-25,Female,Bengaluru,Karnataka,VIP,2025-09-20,6,138,23.0,2
U1081,26-35,Male,Bengaluru,Karnataka,VIP,2025-08-05,2,35,17.5,1
U1082,18-25,Male,Chennai,Tamil Nadu,Premium,2025-11-23,17,649,38.18,8
U1083,26-35,Female,Hyderabad,Telangana,Free,2025-06-18,4,264,66.0,3
U1084,46+,Female,Hyderabad,Telangana,VIP,2025-07-02,12,488,40.67,9
U1085,26-35,Male,Delhi,Delhi,Free,2025-09-12,18,607,33.72,7
U1086,26-35,Female,Delhi,Delhi,VIP,2025-09-06,9,411,45.67,5
U1087,26-35,Female,Hyderabad,Telangana,Free,2025-10-19,13,632,48.62,10
U1088,36-45,Male,Delhi,Delhi,VIP,2025-11-03,7,134,19.14,1
U1089,26-35,Male,Bengaluru,Karnataka,Free,2025-09-30,3,116,38.67,2
U1090,36-45,Female,Kolkata,West Bengal,VIP,2025-08-12,2,73,36.5,2
U1091,26-35,Female,Delhi,Delhi,Premium,2025-12-10,26,898,34.54,14
U1092,18-25,Male,Pune,Maharashtra,Free,2025-06-12,8,546,68.25,5
U1093,18-25,Male,Ahmedabad,Gujarat,Free,2025-09-15,11,456,41.45,4
U1094,36-45,Female,Kolkata,West Bengal,Free,2025-09-11,5,78,15.6,2
U1095,18-25,Female,Mumbai,Maharashtra,VIP,2025-12-15,4,157,39.25,0
U1096,36-45,Female,Delhi,Delhi,Premium,2025-11-26,4,254,63.5,3
U1097,26-35,Male,Delhi,Delhi,Premium,2025-09-25,28,1116,39.86,16
U1098,18-25,Male,Chennai,Tamil Nadu,VIP,2025-08-21,5,153,30.6,0
U1099,46+,Female,Hyderabad,Telangana,VIP,2025-10-08,13,585,45.0,5
U1100,26-35,Female,Bengaluru,Karnataka,Free,2026-01-07,3,126,42.0,1
U1101,26-35,Male,Delhi,Delhi,VIP,2025-12-14,27,842,31.19,8
U1102,36-45,Male,Delhi,Delhi,Free,2025-11-30,14,464,33.14,4
U1103,18-25,Male,Delhi,Delhi,VIP,2025-07-06,8,360,45.0,4
U1104,18-25,Male,Mumbai,Maharashtra,Free,2025-09-15,9,375,41.67,3
U1105,26-35,Female,Bengaluru,Karnataka,Free,2025-09-16,17,751,44.18,8
U1106,18-25,Female,Lucknow,Uttar Pradesh,Free,2026-01-12,5,146,29.2,1
U1107,36-45,Male,Mumbai,Maharashtra,Free,2025-12-10,6,191,31.83,5
U1108,18-25,Female,Ahmedabad,Gujarat,VIP,2025-12-06,23,1193,51.87,13
U1109,26-35,Female,Delhi,Delhi,Free,2025-09-20,8,339,42.38,1
U1110,26-35,Male,Hyderabad,Telangana,VIP,2025-12-03,10,432,43.2,4
U1111,18-25,Male,Mumbai,Maharashtra,VIP,2025-06-07,27,1163,43.07,18
U1112,46+,Female,Hyderabad,Telangana,Free,2025-09-18,7,222,31.71,2
U1113,18-25,Male,Mumbai,Maharashtra,Free,2025-07-25,5,74,14.8,0
U1114,26-35,Male,Jaipur,Rajasthan,Free,2025-12-30,20,712,35.6,9
U1115,26-35,Female,Bengaluru,Karnataka,VIP,2025-06-14,16,740,46.25,11
U1116,46+,Male,Hyderabad,Telangana,VIP,2025-11-14,3,102,34.0,3
U1117,18-25,Male,Delhi,Delhi,Premium,2025-11-07,24,974,40.58,15
U1118,18-25,Male,Hyderabad,Telangana,VIP,2025-07-26,16,515,32.19,6
U1119,26-35,Male,Bengaluru,Karnataka,VIP,2025-12-09,3,74,24.67,2
U1120,26-35,Female,Mumbai,Maharashtra,Free,2025-10-27,6,360,60.0,6
U1121,18-25,Male,Hyderabad,Telangana,Premium,2025-09-10,9,442,49.11,7
U1122,46+,Male,Hyderabad,Telangana,Premium,2025-08-02,7,260,37.14,2
U1123,18-25,Female,Ahmedabad,Gujarat,VIP,2025-07-01,16,608,38.0,8
U1124,36-45,Female,Mumbai,Maharashtra,VIP,2025-11-17,5,161,32.2,0
U1125,18-25,Male,Bengaluru,Karnataka,Premium,2025-12-28,7,307,43.86,5
U1126,26-35,Male,Bengaluru,Karnataka,Premium,2025-09-26,11,342,31.09,7
U1127,26-35,Male,Kolkata,West Bengal,Premium,2025-08-09,31,1210,39.03,16
U1128,26-35,Female,Pune,Maharashtra,VIP,2025-12-29,16,683,42.69,8
U1129,26-35,Male,Ahmedabad,Gujarat,Premium,2025-06-23,2,41,20.5,0
U1130,18-25,Male,Kolkata,West Bengal,VIP,2025-11-19,4,121,30.25,2
U1131,18-25,Male,Ahmedabad,Gujarat,Free,2025-07-25,3,95,31.67,1
U1132,18-25,Male,Delhi,Delhi,VIP,2026-01-12,1,23,23.0,1
U1133,18-25,Male,Lucknow,Uttar Pradesh,Free,2025-12-02,8,279,34.88,5
U1134,26-35,Female,Delhi,Delhi,VIP,2025-11-30,6,351,58.5,4
U1135,26-35,Female,Mumbai,Maharashtra,Free,2025-11-25,24,875,36.46,8
U1136,18-25,Female,Bengaluru,Karnataka,VIP,2025-08-28,4,311,77.75,3
U1137,26-35,Female,Delhi,Delhi,VIP,2025-08-09,13,480,36.92,9
U1138,18-25,Male,Kolkata,West Bengal,Free,2025-12-08,13,536,41.23,5
U1139,26-35,Female,Delhi,Delhi,Free,2025-10-02,5,185,37.0,2
U1140,18-25,Female,Pune,Maharashtra,VIP,2025-06-26,4,92,23.0,1
U1141,36-45,Male,Bengaluru,Karnataka,Free,2025-11-29,17,625,36.76,7
U1142,26-35,Male,Kochi,Kerala,VIP,2025-11-26,4,69,17.25,1
U1143,46+,Female,Kolkata,West Bengal,Free,2025-06-04,2,137,68.5,2
U1144,26-35,Male,Bengaluru,Karnataka,Free,2025-06-14,26,744,28.62,13
U1145,18-25,Female,Mumbai,Maharashtra,Free,2025-10-04,9,232,25.78,3
U1146,18-25,Female,Mumbai,Maharashtra,Free,2025-10-23,16,484,30.25,3
U1147,46+,Male,Delhi,Delhi,VIP,2025-09-15,4,132,33.0,2
U1148,26-35,Female,Delhi,Delhi,VIP,2025-09-24,5,174,34.8,1
U1149,46+,Male,Hyderabad,Telangana,Free,2025-10-24,25,887,35.48,14
U1150,26-35,Female,Kolkata,West Bengal,Premium,2025-07-24,5,145,29.0,2
U1151,26-35,Male,Mumbai,Maharashtra,Free,2025-10-20,8,413,51.63,2
U1152,18-25,Male,Bengaluru,Karnataka,VIP,2025-08-14,5,260,52.0,3
U1153,18-25,Male,Delhi,Delhi,Premium,2025-06-19,17,681,40.06,11
U1154,26-35,Female,Pune,Maharashtra,VIP,2025-11-17,3,122,40.67,2
U1155,36-45,Male,Mumbai,Maharashtra,Free,2025-07-09,8,403,50.38,4
U1156,46+,Female,Mumbai,Maharashtra,Free,2025-08-18,5,153,30.6,4
U1157,26-35,Female,Lucknow,Uttar Pradesh,Free,2025-09-28,25,803,32.12,11
U1158,26-35,Female,Lucknow,Uttar Pradesh,VIP,2025-10-05,7,229,32.71,3
U1159,26-35,Female,Jaipur,Rajasthan,VIP,2025-11-02,6,390,65.0,2
U1160,18-25,Male,Kochi,Kerala,Premium,2025-10-26,4,132,33.0,1
U1161,26-35,Male,Pune,Maharashtra,Premium,2025-10-26,4,97,24.25,2
U1162,18-25,Female,Bengaluru,Karnataka,VIP,2026-01-21,7,137,19.57,1
U1163,18-25,Other,Bengaluru,Karnataka,Premium,2025-06-24,5,320,64.0,4
U1164,26-35,Male,Delhi,Delhi,Free,2025-07-12,5,61,12.2,1
U1165,18-25,Female,Delhi,Delhi,Premium,2025-12-26,3,78,26.0,1
U1166,36-45,Male,Mumbai,Maharashtra,Free,2025-06-30,22,652,29.64,5
U1167,46+,Male,Chennai,Tamil Nadu,Premium,2025-11-16,3,120,40.0,2
U1168,36-45,Male,Mumbai,Maharashtra,VIP,2025-11-07,3,40,13.33,1
U1169,36-45,Female,Kolkata,West Bengal,Free,2025-10-19,28,956,34.14,11
U1170,18-25,Male,Jaipur,Rajasthan,VIP,2025-06-08,4,164,41.0,1
U1171,46+,Female,Delhi,Delhi,Free,2025-10-20,7,120,17.14,3
U1172,18-25,Male,Delhi,Delhi,Premium,2025-06-30,2,18,9.0,0
U1173,26-35,Male,Ahmedabad,Gujarat,VIP,2025-12-01,1,11,11.0,0
U1174,18-25,Female,Bengaluru,Karnataka,VIP,2025-09-29,9,319,35.44,6
U1175,18-25,Female,Bengaluru,Karnataka,Premium,2025-10-09,12,314,26.17,6
U1176,26-35,Male,Mumbai,Maharashtra,VIP,2026-01-05,6,110,18.33,0
U1177,26-35,Female,Chennai,Tamil Nadu,Premium,2025-08-12,2,141,70.5,1
U1178,26-35,Female,Chennai,Tamil Nadu,VIP,2026-01-08,36,1623,45.08,21
U1179,18-25,Female,Bengaluru,Karnataka,VIP,2025-10-18,5,117,23.4,2
U1180,18-25,Female,Ahmedabad,Gujarat,Premium,2025-08-01,1,38,38.0,1
U1181,26-35,Male,Pune,Maharashtra,Free,2025-12-08,13,438,33.69,4
U1182,26-35,Female,Bengaluru,Karnataka,Premium,2025-12-20,8,217,27.13,4
U1183,36-45,Other,Chennai,Tamil Nadu,Free,2025-10-07,10,298,29.8,3
U1184,46+,Male,Mumbai,Maharashtra,Premium,2025-06-26,2,66,33.0,1
U1185,26-35,Male,Kolkata,West Bengal,Free,2025-11-15,3,220,73.33,2
U1186,46+,Male,Pune,Maharashtra,Free,2025-11-07,4,106,26.5,2
U1187,26-35,Female,Ahmedabad,Gujarat,Premium,2026-01-06,13,715,55.0,7
U1188,26-35,Female,Hyderabad,Telangana,Premium,2025-10-03,6,172,28.67,3
U1189,36-45,Male,Mumbai,Maharashtra,VIP,2026-01-22,6,236,39.33,4
U1190,18-25,Male,Mumbai,Maharashtra,Premium,2025-12-12,7,174,24.86,2
U1191,26-35,Female,Bengaluru,Karnataka,VIP,2026-01-18,21,894,42.57,10
U1192,18-25,Male,Mumbai,Maharashtra,Free,2025-09-19,11,401,36.45,6
U1193,18-25,Female,Chennai,Tamil Nadu,VIP,2025-07-14,3,253,84.33,3
U1194,18-25,Female,Bengaluru,Karnataka,VIP,2025-10-06,6,173,28.83,3
U1195,46+,Male,Bengaluru,Karnataka,Free,2025-08-05,9,404,44.89,3
U1196,26-35,Female,Bengaluru,Karnataka,Free,2025-10-18,8,281,35.13,4
U1197,18-25,Male,Bengaluru,Karnataka,VIP,2025-11-11,5,114,22.8,2
U1198,46+,Female,Bengaluru,Karnataka,Free,2025-09-07,9,219,24.33,3
U1199,36-45,Male,Bengaluru,Karnataka,Free,2025-08-15,6,95,15.83,1
U1200,46+,Male,Kochi,Kerala,VIP,2025-08-10,6,206,34.33,1
U1201,18-25,Female,Pune,Maharashtra,Premium,2026-01-20,9,282,31.33,5
U1202,26-35,Male,Jaipur,Rajasthan,Free,2025-12-22,3,98,32.67,0
U1203,18-25,Female,Delhi,Delhi,Free,2025-08-04,19,730,38.42,7
U1204,26-35,Female,Hyderabad,Telangana,Premium,2025-11-08,10,396,39.6,5
U1205,18-25,Female,Mumbai,Maharashtra,VIP,2025-06-09,0,0,0.0,0
U1206,26-35,Female,Mumbai,Maharashtra,Free,2025-12-09,6,200,33.33,3
U1207,26-35,Male,Pune,Maharashtra,Premium,2025-09-02,4,170,42.5,2
U1208,26-35,Female,Ahmedabad,Gujarat,Free,2025-12-29,4,95,23.75,2
U1209,46+,Female,Delhi,Delhi,Premium,2025-12-23,4,285,71.25,2
U1210,18-25,Female,Mumbai,Maharashtra,Premium,2026-01-07,5,156,31.2,2
U1211,26-35,Female,Bengaluru,Karnataka,Premium,2025-10-21,15,503,33.53,6
U1212,18-25,Female,Mumbai,Maharashtra,VIP,2025-09-25,17,885,52.06,9
U1213,18-25,Female,Delhi,Delhi,Free,2025-11-11,18,697,38.72,8
U1214,46+,Male,Delhi,Delhi,Free,2026-01-13,5,197,39.4,4
U1215,46+,Male,Hyderabad,Telangana,VIP,2025-11-10,4,97,24.25,2
U1216,36-45,Female,Delhi,Delhi,Free,2025-07-06,1,22,22.0,0
U1217,18-25,Male,Patna,Bihar,Free,2025-07-31,10,361,36.1,5
U1218,36-45,Male,Bengaluru,Karnataka,VIP,2025-12-08,8,248,31.0,2
U1219,26-35,Female,Hyderabad,Telangana,VIP,2026-01-13,5,93,18.6,1
U1220,26-35,Male,Chennai,Tamil Nadu,Free,2025-08-11,9,473,52.56,4
U1221,18-25,Male,Bengaluru,Karnataka,Premium,2026-01-05,4,178,44.5,2
U1222,18-25,Other,Bengaluru,Karnataka,Premium,2025-11-13,4,134,33.5,2
U1223,18-25,Male,Delhi,Delhi,Free,2026-01-04,7,253,36.14,3
U1224,36-45,Male,Delhi,Delhi,VIP,2025-06-06,18,645,35.83,8
U1225,18-25,Male,Patna,Bihar,VIP,2025-07-23,16,748,46.75,10
U1226,18-25,Female,Delhi,Delhi,Free,2026-01-09,5,148,29.6,2
U1227,18-25,Female,Pune,Maharashtra,VIP,2025-08-10,11,582,52.91,9
U1228,36-45,Male,Mumbai,Maharashtra,Free,2025-07-15,7,200,28.57,2
U1229,18-25,Female,Mumbai,Maharashtra,Free,2025-12-19,13,547,42.08,5
U1230,18-25,Male,Mumbai,Maharashtra,Free,2025-12-07,20,684,34.2,6
U1231,26-35,Male,Mumbai,Maharashtra,Free,2025-09-01,5,208,41.6,2
U1232,26-35,Male,Chennai,Tamil Nadu,Premium,2025-06-12,9,347,38.56,4
U1233,26-35,Female,Hyderabad,Telangana,Free,2025-11-12,6,210,35.0,2
U1234,46+,Male,Bengaluru,Karnataka,Free,2025-11-23,15,502,33.47,7
U1235,18-25,Female,Bengaluru,Karnataka,Premium,2025-08-22,5,281,56.2,2
U1236,26-35,Male,Delhi,Delhi,VIP,2025-10-19,31,1351,43.58,14
U1237,26-35,Male,Hyderabad,Telangana,Free,2025-10-08,2,37,18.5,0
U1238,26-35,Male,Kolkata,West Bengal,Premium,2025-11-14,19,863,45.42,12
U1239,36-45,Female,Ahmedabad,Gujarat,Free,2026-01-14,5,270,54.0,4
U1240,18-25,Male,Bengaluru,Karnataka,Free,2025-06-25,4,126,31.5,2
U1241,18-25,Male,Delhi,Delhi,Premium,2025-11-23,6,146,24.33,3
U1242,46+,Male,Ahmedabad,Gujarat,Free,2025-06-25,6,332,55.33,4
U1243,26-35,Male,Mumbai,Maharashtra,Free,2025-10-22,8,371,46.38,4
U1244,26-35,Female,Bengaluru,Karnataka,Premium,2026-01-27,9,231,25.67,5
U1245,36-45,Female,Kolkata,West Bengal,Premium,2025-11-01,3,173,57.67,1
U1246,18-25,Male,Chennai,Tamil Nadu,Free,2025-10-02,4,194,48.5,2
U1247,18-25,Male,Ahmedabad,Gujarat,Free,2025-12-13,11,335,30.45,1
U1248,18-25,Male,Bengaluru,Karnataka,VIP,2025-12-14,8,321,40.13,4
U1249,36-45,Female,Hyderabad,Telangana,Free,2026-01-24,6,253,42.17,3
U1250,26-35,Female,Mumbai,Maharashtra,Free,2025-12-13,10,258,25.8,3
U1251,18-25,Male,Mumbai,Maharashtra,Premium,2025-10-23,2,82,41.0,2
U1252,26-35,Male,Kolkata,West Bengal,Premium,2025-06-24,4,134,33.5,3
U1253,26-35,Male,Bengaluru,Karnataka,Free,2025-09-03,12,295,24.58,1
U1254,18-25,Male,Lucknow,Uttar Pradesh,VIP,2026-01-13,4,186,46.5,4
U1255,18-25,Male,Hyderabad,Telangana,VIP,2025-08-09,22,597,27.14,4
U1256,26-35,Male,Hyderabad,Telangana,Free,2025-07-26,14,378,27.0,5
U1257,36-45,Male,Bengaluru,Karnataka,Free,2025-11-21,3,67,22.33,1
U1258,26-35,Female,Delhi,Delhi,Free,2025-11-01,2,22,11.0,0
U1259,18-25,Male,Lucknow,Uttar Pradesh,VIP,2025-12-13,3,104,34.67,1
U1260,18-25,Male,Mumbai,Maharashtra,VIP,2025-07-15,6,390,65.0,6
U1261,18-25,Female,Delhi,Delhi,VIP,2025-11-19,9,329,36.56,5
U1262,36-45,Male,Ahmedabad,Gujarat,Free,2025-06-05,8,395,49.38,4
U1263,26-35,Male,Delhi,Delhi,Free,2025-09-12,4,114,28.5,1
U1264,26-35,Male,Mumbai,Maharashtra,Free,2025-08-23,4,113,28.25,1
U1265,18-25,Female,Bengaluru,Karnataka,VIP,2025-09-01,2,58,29.0,1
U1266,18-25,Female,Delhi,Delhi,VIP,2025-10-13,5,215,43.0,1
U1267,18-25,Female,Kolkata,West Bengal,Free,2025-12-17,2,73,36.5,1
U1268,18-25,Male,Mumbai,Maharashtra,VIP,2026-01-18,1,36,36.0,1
U1269,36-45,Male,Kochi,Kerala,VIP,2025-07-08,14,470,33.57,6
U1270,18-25,Male,Delhi,Delhi,VIP,2025-12-12,24,789,32.88,13
U1271,36-45,Male,Kochi,Kerala,VIP,2025-09-27,9,588,65.33,5
U1272,36-45,Female,Bengaluru,Karnataka,Premium,2025-10-23,8,361,45.13,3
U1273,26-35,Other,Delhi,Delhi,Premium,2025-08-20,12,513,42.75,9
U1274,18-25,Male,Bengaluru,Karnataka,Free,2025-08-10,3,69,23.0,1
U1275,26-35,Male,Mumbai,Maharashtra,VIP,2025-06-10,13,467,35.92,6
U1276,18-25,Female,Mumbai,Maharashtra,Premium,2026-01-05,13,615,47.31,9
U1277,18-25,Female,Bengaluru,Karnataka,VIP,2025-12-20,5,250,50.0,2
U1278,26-35,Male,Jaipur,Rajasthan,VIP,2025-07-19,17,728,42.82,8
U1279,18-25,Male,Mumbai,Maharashtra,Free,2025-06-27,2,82,41.0,1
U1280,36-45,Female,Patna,Bihar,Free,2025-11-13,10,256,25.6,4
U1281,18-25,Male,Bengaluru,Karnataka,Free,2025-10-12,17,748,44.0,9
U1282,26-35,Male,Lucknow,Uttar Pradesh,Free,2025-12-16,6,285,47.5,2
U1283,18-25,Female,Pune,Maharashtra,VIP,2025-06-17,17,579,34.06,9
U1284,18-25,Female,Bengaluru,Karnataka,Free,2026-01-05,14,412,29.43,3
U1285,26-35,Female,Jaipur,Rajasthan,Free,2025-10-28,12,535,44.58,6
U1286,26-35,Female,Delhi,Delhi,VIP,2025-11-17,28,909,32.46,14
U1287,18-25,Female,Lucknow,Uttar Pradesh,Free,2025-09-05,2,58,29.0,2
U1288,26-35,Male,Mumbai,Maharashtra,VIP,2025-12-07,9,241,26.78,2
U1289,46+,Female,Mumbai,Maharashtra,VIP,2025-10-09,8,413,51.63,6
U1290,18-25,Male,Delhi,Delhi,Free,2025-12-14,7,162,23.14,3
U1291,26-35,Male,Mumbai,Maharashtra,Free,2026-01-03,6,296,49.33,4
U1292,36-45,Male,Chennai,Tamil Nadu,VIP,2025-10-13,14,560,40.0,7
U1293,18-25,Male,Pune,Maharashtra,Free,2025-09-05,7,226,32.29,3
U1294,18-25,Male,Kolkata,West Bengal,VIP,2026-01-18,16,475,29.69,7
U1295,18-25,Male,Bengaluru,Karnataka,VIP,2025-07-31,13,595,45.77,8
U1296,46+,Female,Kolkata,West Bengal,VIP,2025-07-30,18,548,30.44,6
U1297,26-35,Male,Pune,Maharashtra,VIP,2025-12-31,37,1299,35.11,16
U1298,18-25,Female,Chennai,Tamil Nadu,Free,2025-12-14,5,175,35.0,2
U1299,18-25,Male,Chennai,Tamil Nadu,Premium,2025-12-27,7,355,50.71,4
U1300,18-25,Female,Jaipur,Rajasthan,Free,2025-10-02,6,240,40.0,3
U1301,36-45,Female,Mumbai,Maharashtra,Premium,2026-01-04,20,798,39.9,10
U1302,18-25,Male,Mumbai,Maharashtra,Free,2025-10-10,7,456,65.14,3
U1303,18-25,Male,Lucknow,Uttar Pradesh,Free,2025-09-24,12,618,51.5,6
U1304,36-45,Female,Bengaluru,Karnataka,Free,2025-09-04,9,348,38.67,1
U1305,18-25,Other,Bengaluru,Karnataka,Free,2026-01-25,12,467,38.92,7
U1306,18-25,Female,Delhi,Delhi,Free,2025-06-10,9,295,32.78,1
U1307,18-25,Female,Kolkata,West Bengal,Free,2025-11-28,5,154,30.8,2
U1308,26-35,Female,Jaipur,Rajasthan,Free,2025-07-26,2,31,15.5,0
U1309,36-45,Female,Kolkata,West Bengal,VIP,2025-06-29,4,77,19.25,1
U1310,36-45,Male,Mumbai,Maharashtra,Free,2025-11-11,1,40,40.0,1
U1311,36-45,Male,Mumbai,Maharashtra,Premium,2025-10-31,6,313,52.17,1
U1312,26-35,Female,Chennai,Tamil Nadu,VIP,2025-08-14,28,818,29.21,10
U1313,26-35,Female,Delhi,Delhi,Free,2025-11-18,5,91,18.2,1
U1314,26-35,Female,Bengaluru,Karnataka,Premium,2025-10-18,15,491,32.73,7
U1315,26-35,Other,Chennai,Tamil Nadu,Free,2025-09-29,2,16,8.0,0
